nconst	primaryName
nm0000005	Ingmar Bergman
nm0000019	Federico Fellini
nm0000033	Alfred Hitchcock
nm0000040	Stanley Kubrick
nm0000041	Akira Kurosawa
nm0000076	François Truffaut
nm0000080	Orson Welles
nm0000088	Aleksey Korenev
nm0000108	Luc Besson
nm0000114	Steve Buscemi
nm0000116	James Cameron
nm0000118	John Carpenter
nm0000122	Charles Chaplin
nm0000141	David Duchovny
nm0000149	Jodie Foster
nm0000154	Mel Gibson
nm0000158	Tom Hanks
nm0000165	Ron Howard
nm0000166	Helen Hunt
nm0000180	David Lean
nm0000184	George Lucas
nm0000229	Steven Spielberg
nm0000231	Oliver Stone
nm0000233	Quentin Tarantino
nm0000243	Denzel Washington
nm0000257	Alan Alda
nm0000276	Sean Astin
nm0000291	Angela Bassett
nm0000318	Tim Burton
nm0000320	Luis Buñuel
nm0000338	Francis Ford Coppola
nm0000361	Brian De Palma
nm0000373	Michael Dorn
nm0000406	John Ford
nm0000408	Jonathan Frakes
nm0000436	Curtis Hanson
nm0000466	Jean-Pierre Jeunet
nm0000484	John Landis
nm0000485	Fritz Lang
nm0000490	Spike Lee
nm0000500	Richard Linklater
nm0000513	William H. Macy
nm0000520	Michael Mann
nm0000536	Robert Duncan McNeill
nm0000570	Alan Parker
nm0000576	Sean Penn
nm0000581	Joseph L. Mankiewicz
nm0000583	Wolfgang Petersen
nm0000591	Roman Polanski
nm0000600	Sam Raimi
nm0000601	Harold Ramis
nm0000630	Liev Schreiber
nm0000631	Ridley Scott
nm0000655	Eric Stoltz
nm0000693	Peter Weller
nm0000694	Wim Wenders
nm0000697	Billy Wilder
nm0000705	Robin Wright
nm0000709	Robert Zemeckis
nm0000736	Robert Aldrich
nm0000739	Debbie Allen
nm0000750	Jon Amiel
nm0000759	Paul Thomas Anderson
nm0000774	Michelangelo Antonioni
nm0000777	Gregg Araki
nm0000814	John G. Avildsen
nm0000816	Jon Avnet
nm0000824	John Badham
nm0000867	Jason Bateman
nm0000870	Kathy Bates
nm0000905	Roberto Benigni
nm0000913	Robby Benson
nm0000953	Peter Bogdanovich
nm0000965	Danny Boyle
nm0000975	Robert Bresson
nm0000984	Avery Brooks
nm0000996	LeVar Burton
